Redshift,Mass
6.0015,1500000000
6.32681,9730000000
6.79031,1100000000
5.77875,170000000
6.33741,2200000000
6.54066,3700000000
6.07484,1640000000
5.7845,3400000000
6.67576,2300000000
7.08495,2400000000
6.43852,3000000000
6.58679,4100000000
6.03903,1480000000
6.0808,4500000000
6.58737,1120000000
6.14601,1460000000
6.9001,2400000000
6.17213,2400000000
6.00431,2400000000
6.61399,540000000
6.1882,4600000000
6.51526,300000000
6.03303,2100000000
6.1,1890000000
7.54091,910000000
6.2343,1690000000
6.444,5300000000
